2026-03-29 06:26:31,8.8.8.8,Online,42.56,93.6
2026-03-29 06:26:31,1.1.1.1,Online,31.4,95.3
2026-03-29 06:26:31,192.168.1.1,Online,3.21,99.5
2026-03-29 06:26:41,8.8.8.8,Online,57.53,91.4
2026-03-29 06:26:41,1.1.1.1,Online,26.17,96.1
2026-03-29 06:26:41,192.168.1.1,Online,3.26,99.5
2026-03-29 06:26:51,8.8.8.8,Online,46.15,93.1
2026-03-29 06:26:51,1.1.1.1,Online,31.04,95.3
2026-03-29 06:26:51,192.168.1.1,Online,3.68,99.4
2026-03-29 06:27:01,8.8.8.8,Online,42.89,93.6
2026-03-29 06:27:01,1.1.1.1,Online,30.72,95.4
2026-03-29 06:27:01,192.168.1.1,Online,3.44,99.5
2026-03-29 06:27:11,8.8.8.8,Online,40.82,93.9
2026-03-29 06:27:11,1.1.1.1,Online,25.62,96.2
2026-03-29 06:27:11,192.168.1.1,Online,2.94,99.6
2026-03-29 06:27:21,8.8.8.8,Online,51.63,92.3
2026-03-29 06:27:21,1.1.1.1,Online,38.83,94.2
2026-03-29 06:27:21,192.168.1.1,Online,3.28,99.5
2026-03-29 06:27:31,8.8.8.8,Online,55.71,91.6
2026-03-29 06:27:31,1.1.1.1,Online,30.01,95.5
2026-03-29 06:27:31,192.168.1.1,Online,3.72,99.4
2026-03-29 06:27:42,8.8.8.8,Online,44.82,93.3
2026-03-29 06:27:42,1.1.1.1,Online,41.02,93.8
2026-03-29 06:27:42,192.168.1.1,Online,4.19,99.4
2026-03-29 06:27:52,8.8.8.8,Online,54.82,91.8
2026-03-29 06:27:52,1.1.1.1,Online,29.72,95.5
2026-03-29 06:27:52,192.168.1.1,Online,3.52,99.5
2026-03-29 06:28:02,8.8.8.8,Online,54.32,91.9
2026-03-29 06:28:02,1.1.1.1,Online,30.73,95.4
2026-03-29 06:28:02,192.168.1.1,Online,3.33,99.5
2026-03-29 06:28:12,8.8.8.8,Online,44.08,93.4
2026-03-29 06:28:12,1.1.1.1,Online,31.09,95.3
2026-03-29 06:28:12,192.168.1.1,Online,3.52,99.5
2026-03-29 06:28:22,8.8.8.8,Online,60.53,90.9
2026-03-29 06:28:22,1.1.1.1,Online,51.45,92.3
2026-03-29 06:28:22,192.168.1.1,Online,3.05,99.5
2026-03-29 06:28:32,8.8.8.8,Online,50.42,92.4
2026-03-29 06:28:32,1.1.1.1,Online,49.88,92.5
2026-03-29 06:28:32,192.168.1.1,Online,4.24,99.4
2026-03-29 06:28:42,8.8.8.8,Online,47.82,92.8
2026-03-29 06:28:42,1.1.1.1,Online,50.66,92.4
2026-03-29 06:28:42,192.168.1.1,Online,3.99,99.4
2026-03-29 06:28:53,8.8.8.8,Online,36.66,94.5
2026-03-29 06:28:53,1.1.1.1,Online,36.75,94.5
2026-03-29 06:28:53,192.168.1.1,Online,3.25,99.5
2026-03-29 06:29:03,8.8.8.8,Online,43.13,93.5
2026-03-29 06:29:03,1.1.1.1,Online,30.71,95.4
2026-03-29 06:29:03,192.168.1.1,Online,3.11,99.5
2026-03-29 06:29:13,8.8.8.8,Online,59.64,91.1
2026-03-29 06:29:13,1.1.1.1,Online,30.04,95.5
2026-03-29 06:29:13,192.168.1.1,Online,3.57,99.5
2026-03-29 06:29:23,8.8.8.8,Online,50.31,92.5
